HolidayPlace,City,Countryside,Seaside,Riverside,Mountains,Hotel,Hostel,Camping,Train,Train + Bike,Bus,Explore Nature,Food,Culture,Party,Relaxing,Active Holiday,Picture,Description,Link
"Banda aceh, Indonesia",1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,https://www.indonesia.travel/content/dam/indtravelrevamp/en/destinations/revision-2019/all-revision-destination/sumatra/Banda_Aceh.jpg,"Kota Banda Aceh memiliki banyak keindahan menarik, seperti tur sejarah di kota warisan kolonial Belanda di Museum Aceh, Gubernur Meligoe, dan Museum Tsunami Aceh serta Kapal di Atas Rumah yang menjadi saksi bisu bencana alam tsunami yang menghancurkan pada tahun 2004.",https://www.indonesia.travel/id/id/destinasi/sumatra/banda-aceh
"Pangkor Island, Malaysia",0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/4e/ce/bf/beautiful-island.jpg?w=1000&h=1000&s=1,"Pulau Pangkor, permata tersembunyi di Malaysia Barat, menawarkan kombinasi sempurna antara keindahan alam tropis, pantai berpasir putih, dan warisan budaya yang kaya. Pulau Pangkor telah menjadi tujuan liburan populer bagi wisatawan yang mencari kedamaian, petualangan, dan pengalaman budaya otentik.",https://bafageh.com/blog/Mengungkap-Pesona-Alam-dan-Budaya-Pulau-Pangkor-Perak-Petualangan-Tropis-di-Malaysia-Barat
"Chiang Rai, Thailand",1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,https://warmcheaptrips.com/wp-content/uploads/2023/01/Cosa-vedere-a-Chiang-Rai.jpeg,Chiang Rai terkenal dengan keindahan budayanya dan keajaiban arsitekturnya. Pengunjung dapat mengunjungi Museum Budaya Chiang Rai untuk mempelajari warisan budaya kota ini dan mendapatkan pemahaman lebih dalam tentang kehidupan penduduknya.,https://bafageh.com/blog/Chiang-Rai-Thailand-Keindahan-Budaya-dan-Keajaiban-Arsitektur
"Kuching, Malaysia",1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,https://www.amazingborneo.id/wp-content/uploads/2019/10/Monumen-Patung-Kuching.jpg,"Kuching, ibu kota Sarawak di Malaysia, menawarkan keindahan alam yang memikat, keragaman budaya, dan penduduk yang ramah. Jika Anda mencari petualangan unik dan menyenangkan, Kuching adalah tempat yang tepat untuk dieksplorasi.",https://www.amazingborneo.id/pesona-kota-kuching-di-sarawak/
"Redang Island, Malaysia",0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,https://bafageh.com/uploads/cms/images/1713542032_Screenshot%202024-04-19%20224846.png,"Pulau Redang, salah satu permata tersembunyi Malaysia, menawarkan pasir putih halus, air laut yang jernih, dan kehidupan bawah air yang menakjubkan, memberikan pengalaman liburan yang tak terlupakan bagi pengunjung yang mencari kesegaran tropis dan ketenangan luar biasa.",https://bafageh.com/blog/Mengarungi-Keindahan-Tropis-Pulau-Redang-Terengganu-Surga-Pantai-Malaysia-Timur
"Dalat, Vietnam",1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,https://www.dalattrip.com/media/2012/10/Dalat-city-from-flycam.jpg,"Kota Dalat terletak di dataran tinggi Lang Biang, di wilayah selatan Vietnam. Kota ini dihiasi dengan pegunungan yang indah, taman bunga yang cantik, dan udara segar yang sejuk.",https://id.hotels.com/go/vietnam/best-things-to-do-da-lat
"Rinjani Mountain, Indonesia",0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,https://kwriu.kemdikbud.go.id/wp-content/uploads/2017/04/Rinjani-742x440.jpg,"Gunung Rinjani adalah gunung tertinggi kedua di Indonesia yang terletak di Pulau Lombok, Nusa Tenggara Barat. Gunung ini menjadi favorit para pendaki Indonesia karena pemandangannya yang indah.",https://indonesiakaya.com/pustaka-indonesia/gunung-rinjani-pesona-keindahan-alam-eksotis-di-atap-lombok/
"Tanjung Putting, Indonesia",0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,https://asset.kompas.com/crops/rS9Tx0RWoTT3iKohMEX0PMcmJbM=/0x0:750x500/750x500/data/photo/2022/02/24/6216f993c35a0.jpg,Taman Nasional Tanjung Puting adalah taman nasional yang menjadi rumah bagi orangutan dengan pemandangan sungai dan taman nasional yang indah untuk dieksplorasi.,https://pariwisata.kalteng.go.id/wisata/9
"Gunung Leuser National Park, Indonesia",0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMrsDSwDYDdXvfGrXRbio5gKxxIwvj1-1bqr13mtf7ng&s,Taman Nasional Gunung Leuser adalah salah satu kawasan konservasi alam di Indonesia yang memiliki keanekaragaman hayati luar biasa. Kawasan konservasi besar ini melindungi orangutan dan harimau Sumatra.,https://www.detik.com/sumut/berita/d-7013608/taman-nasional-gunung-leuser-rumah-flora-dan-fauna-langka
"Komodo National Park, Indeonesia",0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,https://www.mongabay.co.id/wp-content/uploads/2022/07/5-komodo-ntt.jpg,"Komodo (Varanus komodoensis) adalah spesies purba yang hampir punah yang hanya bisa ditemukan di Taman Nasional Komodo. Biawak Komodo adalah makhluk besar mirip kadal raksasa, panjangnya 2-3 m dan beratnya bisa mencapai 165 kg, atau 100 kg dengan perut kosong.",https://indonesiabaik.id/infografis/taman-nasional-komodo
